package,connections
NumPy,"['Kaggle_Yelp_Recommendations', 'tyokyvyttomyyslaskenta', 'PyEX', 'ombt', 'SRT22_3', 'bin', 'Python-Project', 'biblio', 'machinestudy', 'matrixloader', 'UliEngineering', 'einsum', 'python_libraries', 'Kaggle_Titanic', 'Python-For-Data-Science', 'MPI_Import', 'Python', 'Python-Descriptive-Statistics', 'PY_StatisticalThinking', 'nbreversible', 'IPDP-Course-DTU', 'CS5590-Python', 'AccessoryHelper-PrettyCode-Pygments', 'vm', 'IN712gardits1']"
scipy,"['mySoftwares', 'MachineLearning', 'TeamGolf', 'PythonBridge', 'ParaViewSuperbuild', 'FirstGITProject', 'datascience', 'TeX_files', 'python', 'visualharmony', 'randomCodes', 'FunwithPython', 'TestParaView', 'T-Profiler', 'ncds_bsag_analysis', 'paraview-superbuild', 'markov', 'class_always_be_learning', 'python-playground', 'TEST_REPO', 'POS', 'clusteror', 'openfaas', 'mpprojfinal', 'twitter-clustering', 'code', 'pi', 'Python']"
nltk,"['pyplay', 'udacityIntroMachineLearning', 'PythonML', 'nlpStuff', 'NOGO', 'social_humanities_data-hack', 'pythonLearn', 'Machine-Learning', 'Mimi', 'nlp', 'wikirank-crawler', 'sentiment-docker-hypervisor', 'bookmark_me', 'machine_learning', 'ExploringKafka', 'tweethose-nltk', 'y2', 'GitHub_Recommendation_GSoC', 'projects', 'Test', 'jint', 'dnanexus_mokabed', 'bigdata_fall2015', 'Data_Science_Final_Project', 'labdb', 'nlp_scripts', 'python_learn', 'PYSHA1.0', 'textMine']"
Sympy,"['Napier2.0', 'issue', 'SolidShock', 'backup', 'spinwaves_git_final', 'Gunvarrel', 'spinwaves', 'Projects', 'Notes', 'spinwaves_git', 'rc', 'python-bary', 'calpy', 'py.book.code', 'LearnPy', '3DBox', 'projecteuler', 'project-euler', 'projects_and_examples', 'solidmecanics', 'book_code', 'temp', 'strcuture_and_interpretation_of_classical_mechanics', 'BaseCousreOfPythonScienceStudy', 'Mastering_Python_Scientific_Computing']"
noaaclass,"['noaaclass', 'SatelliteSolar', 'goesdownloader']"
pattern,"['kubed', 'PyDesignPattern', 'jsongrep', 'DevDuck', 'PAN', 'py_pattern_gen', 'ledmatrix', 'fact_extraction', 'birchtagger', 'neutronpy', 'pwnpattern', 'Localize_object-in-4-axis-', 'coll-extract', 'CS-3450-Project-Templates', 'corredor', 'codigo-penal-digital', 'flask_graphql', 'rvpository', 'python-prep', 'python-beginners', 'testing_homework', 'fedora', 'wanfadalu_server', 'netseer-test-agent', 'stockcharts', 'rx-libs']"
pandas,"['FristProject', 'Pandas', 'hello-world', 'CMDA', 'Pycharm', 'yuzhouwan', 'stock', 'vscode', 'Python', 'Data_Extraction1', 'HelloWorld', 'fun-challenges', 'HS_Project', 'Naazuktatte_Python', 'test', 'UsFhfaHousingData', 'wm-stats-blog', 'python_mega_course', 'weather', 'barcode_processor_v2', 'ACM_Python_Workshop', 'python_code_2017', 'expense-analysis', 'PyDataAnalysis', 'codingplace', 'GitHub_Python_Scripts', 'cs181proj5', 'PycharmProjects']"
noaadata,"['PyNOAAGeoMagIndiceHandler', 'aislib', 'aislib-old', 'ais', 'noaadata']"
scikit-learn,"['Edge-Analytics', 'steamroller', 'NLPTest1', 'movies', 'variational-inference', 'rango', 'MLforFun', 'csmm101_ai', 'PythonVSCode', 'Development', 'MLParser', 'moodbot4', 'qtensorflowexample', 'Python', 'AndroidViewAnalyserNeuralNetwork', 'keras_test', 'machine-learning', 'P2_Data_Mining', 'poGANmon', 'tct', 'deep-learning', 'scraper', 'TensorflowKerasLambda', 'thesisPreparation', 'learning-Learning', 'CryptoCare', 'Binary_Classification_CNN', 'mygluon', 'TensorFlow']"
lipd,"['Pyleoclim_util', 'LiPD-utilities', 'p2k']"
rpy2,"['astrostats-school-2018', 'cdat', 'Aston', 'Python-working', 'Anomaly_Detection', 'sagesmc', 'sage-obsolete', 'sage-obsolete-padic', 'sagelib', 'sage', 'GSoC_2014', 'sage-nonsocial', 'sageproject', 'classic_diff_geom', 'demo', 'Src', 'testsage', 'habs', 'LCA', 'gis-data-plotter', 'rat_lung_microbiome', 'RNAseq_Tools', 'isl_exercises', 'data-in-the-mines', 'Kaggle', 'AWSLambdaServerless']"
pyleoclim,['Pyleoclim_util']
seaborn,"['individual-sandbox', 'Exercicios_data_science', 'data_vs', 'classes', 'probability-and-statistics', 'ac0n3', 'lectures', 'python-playground', 'Police-Violence', 'PycharmProjects', 'Python-snippets', 'python-enhance-life', 'CSE-547', 'nonlinear_coreg', 'Titanic1', 'Insights-Business-Intelligence-Tool', 'gitTest', 'ColorantesPena', 'puppetserver-metrics-viz', 'commondatacases', 'portfolio', 'Python', 'Seaborn', 'solution_eda', 'simfootball', 'study-in-univ', 'seaborn-sandbox', 'business_analytics', 'import_tester']"
statsmodels,"['ac0n3', 'BitterBits', 'anaconda-recipes', 'lectures', 'Thoughtful-Data-Science', 'keras', 'PythonForDataAnlysis', 'vbench', 'cookiecutter', 'data_science_assistant', 'Python_coding_Practice', 'Python-ML', 'code_extraction', 'Practice_Programming', 'AD_study', 'Time_Series_For_Python', 'recommendationlearning1', 'import_tester', 'PDA', 'fulton_statsmodels_2017', 'US_CENSUS', 'jp_git', 'dataMining', 'PythonBasics', 'AirBnb-Destination-Prediction', 'code', 'mypy', 'STA137', 'data_science']"
ipython,"['pymol-home', 'bsp', 'vision', 'learning', 'ac0n3', 'rep', 'python', 'Python', 'devide.olddevidecombined', 'devide.dre', 'borneo', 'Menpo_Playground_With_Mynotes', 'xblock-ipython', 'py2exe-test', 'Envisage_wxPhoenix_py3', 'roti', 'kubifuri2013', 'collective.ruleactions.pythonscript', 'envisage', 'science', 'LISA', 'synthetic_dataset']"
bokeh,"['assai', '100-Heroes-Villains', 'file-io-n8yoon', 'ac0n3', 'pydata', 'reboting', 'data-visualization', 'misc', 'isadream', 'Project', 'dds-notebooks', 'pycon2016', 'bokeh-build', 'BokehApp', 'bokeh', 'bokeh_nightly', 'py-tracy', 'riskars', 'flask', 'conda-recipes', 'intelligent-code-completion', 'LIB', 'software_analytics', 'euroscipy_2015', 'bokeh_start_app', 'newGitTest', 'bknqgis', 'Anaconda']"
theano,"['TechFriday1-19-2018', 'brian', 'dl', 'ProbabilisticProgramming', 'Amortized_SVGD', 'test', 'kaggle_yelp', 'ckm', 'wxywb.github.io', 'rbm-awesomeness', 'galatea', 'autoencoder-experiments', 'deep-learning', 'deepQRNetwork', 'NLP', 'cs760_big_project', 'travis_sandbox', 'ConvolutionMovements', 'emotion_recognition', 'deep-base', 'Theano_lgpl', 'Test', 'unimindService', 'Dockerfiles', 'vclab', 'conda-recipes', 'Triah', 'ML-algorithms', 'Keras-GAN', 'ml-audio']"
